transcript	description
MLOC_5912.1	Fasciclin_domain
AK373215	tRNA_synthetases_class_II_core_domain_(F)
AK250005.1	Ribonuclease_T2_family
AK370873	Amidohydrolase_family
AK251346.1	Glycosyl_hydrolase_family_79,_N-terminal_domain
MLOC_60840.1	Putative_GTPase_activating_protein_for_Arf
AK375537	mTERF
AK362874	Caspase_domain
MLOC_2499.3	Aluminium_activated_malate_transporter
MLOC_61084.1	Protein_of_unknown_function,_DUF594
MLOC_64407.2	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_82043.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
AK249116.1	Proteasome_subunit
MLOC_63208.2	Zinc_finger_CTCHY-type_profile.
AK250631.1	Cytochrome_P450
MLOC_75032.1	2OG-Fe(II)_oxygenase_superfamily
MLOC_76795.2	Protein_of_unknown_function,_DUF599
AK367254	RNA_polymerases_M/15_Kd_subunit
MLOC_50357.1	Exostosin_family
MLOC_70559.1	NB-ARC_domain
AK249562.1	ARID/BRIGHT_DNA_binding_domain
AK361159	Ankyrin_repeat_region_circular_profile.
MLOC_59003.1	3\'-5\'_exonuclease
MLOC_12052.2	HORMA_domain
MLOC_64481.1	Protein_of_unknown_function_(DUF1997)
MLOC_60759.2	Mitosis_protein_DIM1
MLOC_67016.1	Snf7
MLOC_72810.2	Cystatin_domain
MLOC_58759.1	Ankyrin_repeat_signature
AK363829	Transferase_family
MLOC_13434.5	Protein_kinase_domain
MLOC_76200.2	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
AK362616	Trp-Asp_(WD)_repeats_circular_profile.
MLOC_70501.1	Glycosyl_transferases_group_1
MLOC_15452.1	Rhamnogalacturonate_lyase_family
MLOC_62475.1	Glycosyl_hydrolase_family_3_C_terminal_domain
MLOC_12897.1	E1-E2_ATPase
AK353592	haloacid_dehalogenase-like_hydrolase
AK361857	ADF-H_domain_profile.
AK248138.1	Cytochrome_P450
MLOC_34538.1	Rapid_ALkalinization_Factor_(RALF)
MLOC_70795.1	Cyclin
MLOC_64469.1	Tim17/Tim22/Tim23_family
MLOC_68379.2	Phosphoglycerate_kinase
AK360285	TCP_domain_profile.
AK357038	Thioesterase_superfamily
AK362479	Protein_of_unknown_function_(DUF1668)
AK354125	PPR_repeat
AK370626	von_Willebrand_factor_type_A_domain
AK374138	\'chromo\'_(CHRromatin_Organisation_MOdifier)_domain
MLOC_55688.2	Thioesterase_domain
MLOC_75496.6	B-box_zinc_finger
MLOC_62559.1	RIBOSOMAL_CHLOROPLAST_PLASTID-SPECIFIC_PEPTIDE_TRANSIT_50S_PRECURSOR_CL25_6_AT5G17870/MPI7_10
MLOC_5657.1	Protein_of_unknown_function_(DUF525)
MLOC_57033.1	Peptidyl-tRNA_hydrolase_PTH2
MLOC_37762.1	Protein_of_unknown_function_(DUF1637)
MLOC_51599.3	Deoxyhypusine_synthase
AK248877.1	Diaminopimelate_epimerase
MLOC_15040.1	Legume_lectin_domain
MLOC_73587.1	S1/P1_Nuclease
MLOC_60649.2	Cytochrome_P450
MLOC_58560.1	PPR_repeat
MLOC_4674.2	AMP-binding_enzyme
MLOC_59161.1	Major_facilitator_superfamily_(MFS)_profile.
MLOC_13019.2	Myb-like_DNA-binding_domain
MLOC_44081.2	ABC_transporter
MLOC_68550.2	Seven_in_absentia_protein_family
MLOC_68132.2	Transmembrane_amino_acid_transporter_protein
MLOC_6095.1	Prolyl_oligopeptidase_family
AK368252	EF-hand_calcium-binding_domain_profile.
AK360652	Uncharacterized_ACR,_COG1399
AK365021	Pentatricopeptide_(PPR)_repeat_profile.
MLOC_57348.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_7288.1	Prefoldin_subunit
AK249826.1	Chitinase_class_I
MLOC_54567.1	Leucine_Rich_Repeat
AK367280	Ribosomal_protein_L6_signature
AK371133	WRKY_DNA_-binding_domain
AK371653	Domain_of_unknown_function_(DUF296)
AK368828	Protein_kinase_domain_profile.
AK366816	Protein_phosphatase_2C
MLOC_69141.1	UDP-glucoronosyl_and_UDP-glucosyl_transferase
MLOC_80515.1	Leucine_Rich_Repeat
AK366040	BTB_domain_profile.
MLOC_60648.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
AK366077	U-box_domain
MLOC_13102.1	Phosphatidylethanolamine-binding_protein
MLOC_10686.1	Ubiquitin-like_protease_family_profile.
MLOC_7202.1	Thiamine_pyrophosphate_enzyme,_C-terminal_TPP_binding_domain
MLOC_70572.1	PPR_repeat
MLOC_64607.5	Amino_acid_permease
MLOC_41814.1	Kinesin_motor_domain
MLOC_4863.2	PGAP1-like_protein
MLOC_36349.1	Plant_protein_of_unknown_function_(DUF641)
MLOC_38022.1	Membrane_transport_protein
MLOC_80550.1	Ribosomal_protein_S19
MLOC_79728.1	Phenylalanine_and_histidine_ammonia-lyase
MLOC_37378.1	Lipoxygenase
AK355314	Zinc-containing_alcohol_dehydrogenases_signature.
MLOC_79028.1	Protein_kinase_domain_profile.
MLOC_62791.3	Glycosyl_hydrolases_family_28
AK373570	haloacid_dehalogenase-like_hydrolase
AK359437	SCP-2_sterol_transfer_family
MLOC_60521.4	MATH_domain
AK364615	Ubiquitin_carboxyl-terminal_hydrolase,_family_1
MLOC_63702.2	PAN-like_domain
AK357104	Ribosomal_protein_L11_methyltransferase_(PrmA)
MLOC_63332.1	alpha/beta_hydrolase_fold
MLOC_16273.1	CAF1_family_ribonuclease
AK366749	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
MLOC_53202.1	Ubiquitin_domain_profile.
AK375038	Prokaryotic_membrane_lipoprotein_lipid_attachment_site_profile.
AK365634	Cupin_superfamily_protein
MLOC_14915.2	Phenylalanine_and_histidine_ammonia-lyase
MLOC_60549.2	Fatty_acid_desaturase
MLOC_62511.1	BURP_domain
MLOC_44618.1	Calcineurin-like_phosphoesterase
MLOC_68719.1	RNA_polymerase_I-associated_factor_PAF67
MLOC_65128.1	Plant_protein_of_unknown_function_(DUF828)
AK362584	Conserved_hypothetical_ATP_binding_protein
MLOC_12762.1	Leucine_rich_repeat_N-terminal_domain
AK367892	Serine_carboxypeptidase
MLOC_66723.1	S-locus_glycoprotein_family
MLOC_71251.1	Berberine_and_berberine_like
AK363687	Galactosyltransferase
MLOC_53107.1	Adenylosuccinate_synthetase
AK370288	bZIP_transcription_factor
MLOC_66800.3	Protein_phosphatase_2C
MLOC_56117.1	Helix-loop-helix_DNA-binding_domain
AK363708	Protein_of_unknown_function_(DUF3133)
AK372866	EF_hand
MLOC_65132.1	Formyltetrahydrofolate_deformylase_signature
MLOC_4699.1	3\'_exoribonuclease_family,_domain_1
MLOC_36402.1	Microtubule_associated_protein_(MAP65/ASE1_family)
MLOC_2722.1	Exo70_exocyst_complex_subunit
MLOC_54563.2	DEAD/DEAH_box_helicase
MLOC_62796.1	EF_hand
MLOC_7690.1	Transferase_family
MLOC_4670.2	XS_zinc_finger_domain
MLOC_12188.3	Putative_GTPase_activating_protein_for_Arf
MLOC_17502.2	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_57283.1	Glycosyl_hydrolases_family_17
MLOC_22174.2	Multicopper_oxidase
MLOC_69056.1	Clp_amino_terminal_domain
MLOC_68698.1	Myb-like_DNA-binding_domain
MLOC_54034.2	Amino_acid_permease
MLOC_59608.1	Plant_protein_of_unknown_function_(DUF868)
AK364519	Sodium/calcium_exchanger_protein
MLOC_62927.1	NAD_dependent_epimerase/dehydratase_family
AK248835.1	TAP42-like_family
MLOC_63700.1	Aminotransferase_class-V
MLOC_10595.1	Helix-loop-helix_DNA-binding_domain
MLOC_62256.1	NC_domain
MLOC_59341.1	Protein_kinase_domain
AK373067	Ion_transport_protein
MLOC_67269.1	Ribosomal_protein_S19_family_signature
AK371930	B3_DNA_binding_domain
MLOC_34746.1	Proteasome_B-type_subunits_signature.
MLOC_69134.1	Zinc_finger,_C3HC4_type_(RING_finger)
AK372857	Ras_family
AK362731	Fe-S_metabolism_associated_domain
MLOC_37778.1	Myosin_II_heavy_chain-like
AK252172.1	Uncharacterized_conserved_protein_(DUF2054)
MLOC_72483.1	Peroxidase
AK249338.1	Got1/Sft2-like_family
AK368636	C-terminal_proteasome-interacting_domain_of_thioredoxin-like
AK367352	Pam16
AK369434	Pathogenesis-related_protein_signature
AK357695	Ras-induced_vulval_development_antagonist
AK367007	Protein_of_unknown_function_(DUF1645)
MLOC_60208.1	Tim17/Tim22/Tim23_family
AK371139	Acyl-CoA_dehydrogenase,_C-terminal_domain
MLOC_69344.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK371182	Region_in_Clathrin_and_VPS
AK364447	Eukaryotic_initiation_factor_4E_signature.
MLOC_61638.2	Leucine_Rich_Repeat
MLOC_9800.1	Protein_of_unknown_function_(DUF740)
MLOC_55033.1	Kinesin_motor_domain
MLOC_68844.2	Zinc_finger_Dof-type_profile.
AK360814	Phosphatidylethanolamine-binding_protein
MLOC_37133.3	Cation_transporting_ATPase,_C-terminus
AK251676.1	Protein_kinase_domain
AK360520	Protein_of_unknown_function_(DUF1005)
MLOC_9887.1	Protease_inhibitor/seed_storage/LTP_family
MLOC_74333.3	HhH-GPD_superfamily_base_excision_DNA_repair_protein
MLOC_58853.1	Protein_of_unknown_function,_DUF623
MLOC_65690.1	Adaptin_N_terminal_region
MLOC_11608.3	Integrase_core_domain
MLOC_20639.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_73207.1	Transmembrane_amino_acid_transporter_protein
AK369957	bZIP_transcription_factor
MLOC_72272.1	Protein_kinase_domain
AK361194	short_chain_dehydrogenase
AK358390	Serine/threonine_phosphatase_family_signature
MLOC_76470.1	Papain_family_cysteine_protease
AK355694	CCT_domain_profile.
MLOC_61506.1	Glycosyl_hydrolase_family_10
AK376791	LEM3_(ligand-effect_modulator_3)_family_/_CDC50_family
MLOC_53125.1	VQ_motif
AK356045	Sodium/calcium_exchanger_protein
AK354544	2OG-Fe(II)_oxygenase_superfamily
MLOC_65945.1	Auxin_response_factor
AK376109	Alpha/beta_hydrolase_fold_signature
MLOC_14956.3	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK250336.1	AMP-binding_enzyme
MLOC_7482.1	POT_family
MLOC_67447.1	Sulfotransferase_domain
MLOC_16544.2	Mitochondrial_carrier_protein
MLOC_9846.1	ABC_transporter_transmembrane_region
MLOC_19130.1	IBR_domain
MLOC_69013.1	Eukaryotic_and_viral_aspartyl_proteases_active_site.
MLOC_18267.2	Mis12_protein
AK376552	PPR_repeat
AK367671	YbaK_/_prolyl-tRNA_synthetases_associated_domain
MLOC_50740.1	Thaumatin_family
MLOC_73488.1	Protein_tyrosine_kinase
MLOC_2933.1	GRAS_family_transcription_factor
MLOC_55318.1	NB-ARC_domain
MLOC_62571.1	Homeobox_domain
MLOC_5045.1	Forkhead-associated_(FHA)_domain_profile.
MLOC_11083.1	PLAC8_family
MLOC_71747.1	RhoGAP_domain
MLOC_52021.2	Cyclin,_N-terminal_domain
MLOC_76409.1	Ubiquitin-conjugating_enzyme
MLOC_9439.1	Ribosomal_protein_L20
MLOC_79203.1	Protein_of_unknown_function_(DUF1668)
MLOC_66653.2	Protein_of_unknown_function_(DUF1168)
MLOC_43049.1	Zinc-containing_alcohol_dehydrogenases_signature.
MLOC_20526.1	Glycosyl_hydrolases_family_17
AK360198	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_62750.3	SnoaL-like_polyketide_cyclase
MLOC_48422.3	C2_domain
AK356959	X8_domain
MLOC_58726.1	PLAT/LH2_domain
MLOC_25316.1	Cathepsin_propeptide_inhibitor_domain_(I29)
MLOC_71987.1	PPR_repeat
MLOC_34508.1	Ribosomal_protein_L1_signature.
MLOC_57871.1	UAA_transporter_family
MLOC_51570.1	Protein_tyrosine_kinase
MLOC_72128.1	Arabidopsis_proteins_of_unknown_function
AK364317	Cyclin
MLOC_26846.1	PLATZ_transcription_factor
MLOC_62516.1	Myb-like_DNA-binding_domain
MLOC_19798.1	Phenylalanine_and_histidine_ammonia-lyase
AK364039	Ribose_5-phosphate_isomerase_A_(phosphoriboisomerase_A)
MLOC_53997.2	Lyase
AK361368|AK354955	EamA-like_transporter_family
MLOC_34506.1	WRKY_DNA_-binding_domain
MLOC_53580.1	bZIP_transcription_factor
MLOC_70768.2	Peptidase_family_M20/M25/M40
AK356944	Gnk2-homologous_domain_profile.
MLOC_15743.3	Mitochondrial_carrier_protein
MLOC_20377.3	ThiF_family
MLOC_140.5	Protein_tyrosine_kinase
AK357646	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_70302.1	bZIP_transcription_factor
AK249722.1	Domain_of_unknown_function_(DUF1771)
AK366841	Zinc_finger_B-box_type_profile.
MLOC_65562.1	Endoplasmic_reticulum_vesicle_transporter
MLOC_61906.7	U-box_domain
MLOC_7520.3	Leucine_Rich_Repeat
AK250992.1	Pyruvate_phosphate_dikinase,_PEP/pyruvate_binding_domain
MLOC_5973.1	Aminotransferases_class-I_pyridoxal-phosphate_attachment_site.
MLOC_21567.1	Conserved_mid_region_of_cactin
AK363196	Mo-co_oxidoreductase_dimerisation_domain
MLOC_11425.1	Sedlin,_N-terminal_conserved_region
AK354739	Surfeit_locus_protein_5_subunit_22_of_Mediator_complex
MLOC_62785.1	Ankyrin_repeat
AK373849	Late_embryogenesis_abundant_protein
MLOC_16644.1	Hsp20/alpha_crystallin_family
MLOC_70289.1	GPI_biosynthesis_protein_family_Pig-F
MLOC_65200.1	Plant_calmodulin-binding_domain
AK364073	Cytidylyltransferase_family
AK249517.1	GDA1/CD39_(nucleoside_phosphatase)_family
MLOC_5859.1	NmrA-like_family
AK365010	Major_intrinsic_protein
MLOC_12803.1	HECT-domain_(ubiquitin-transferase)
MLOC_55385.2	PHD-finger
MLOC_8598.1	Stage_II_sporulation_protein_E_(SpoIIE)
AK358591	Leucine_Rich_Repeat
MLOC_39637.1	AN1-like_Zinc_finger
MLOC_45357.1	Dirigent-like_protein
MLOC_52429.1	PPR_repeat
AK354853	WRKY_DNA_-binding_domain
AK251633.1	Histone_H2A_signature.
MLOC_53429.1	Jacalin-like_lectin_domain
MLOC_38368.1	Sugar_(and_other)_transporter
AK249744.1	SCAMP_family
AK251443.1	Dual_specificity_phosphatase,_catalytic_domain
MLOC_54284.4	Helicase_conserved_C-terminal_domain
AK249921.1	Major_Facilitator_Superfamily
MLOC_58050.4	MT-A70
MLOC_4582.3	CHY_zinc_finger
AK375835	Zinc_finger_RING-type_profile.
MLOC_77650.3	Plant_protein_of_unknown_function_(DUF639)
MLOC_65691.3	Protein_tyrosine_kinase
AK353861	MIP_family_signature.
MLOC_6885.1	DnaJ_domain_signature
MLOC_68332.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_38450.1	Auxin_responsive_protein
AK358079	UDP-glycosyltransferases_signature.
MLOC_5287.1	UDP-glucose/GDP-mannose_dehydrogenase_family,_UDP_binding_domain
MLOC_38560.1	ENT_domain
AK370280	UDP-glycosyltransferases_signature.
MLOC_11769.6	Formyl_transferase,_C-terminal_domain
AK362002	NPH3_family
MLOC_68185.2	No_apical_meristem_(NAM)_protein
MLOC_34109.3	Protein_of_unknown_function_(DUF1012)
MLOC_50823.1	NB-ARC_domain
AK364827	WD_domain,_G-beta_repeat
AK251985.1|AK372480	Ribosome_associated_membrane_protein_RAMP4
MLOC_79514.1	Plant_transposon_protein
AK365309	Peptidase_family_M48
AK360380	NLI_interacting_factor-like_phosphatase
MLOC_19368.7	Early_transcription_elongation_factor_of_RNA_pol_II,_NGN_section
MLOC_56057.1	GRAS_family_transcription_factor
AK360806	Pyrimidine_5\'-nucleotidase_(UMPH-1)
MLOC_58753.1	Flavin_containing_amine_oxidoreductase
AK361136	Mitochondrial_glycoprotein
MLOC_44549.1	C1-like_domain
MLOC_37761.1	Zinc_finger_PHD-type_signature.
MLOC_13942.2	Cytochrome_P450
MLOC_69668.2	PCI_domain
AK248235.1	Protein_of_unknown_function_(DUF803)
MLOC_44455.1	WRKY_DNA_-binding_domain
AK354381	alpha/beta_hydrolase_fold
AK250877.1	Ribosomal_protein_L24e
MLOC_51340.2	Aluminium_induced_protein
MLOC_59908.1	RNA_polymerase_Rpb3/Rpb11_dimerisation_domain
AK361679	Myb-like_DNA-binding_domain
MLOC_55399.2	Nodulin-like
AK360586	GAT_domain
MLOC_68060.1	Transmembrane_proteins_14C
MLOC_55667.12	PPR_repeat
MLOC_63169.1	Leucine_Rich_Repeat
MLOC_16792.4	Phosphoribosyl_transferase_domain
AK368296	TATA_element_modulatory_factor_1_TATA_binding
MLOC_64636.1	Ethylene_responsive_element_binding_protein_signature
MLOC_56367.1	Ribosomal_protein_S6e_signature.
MLOC_61712.1	\'Homeobox\'_domain_profile.
MLOC_41918.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
AK365103	Retinal_pigment_epithelial_membrane_protein
AK374772	Nucleotide-diphospho-sugar_transferase
AK354670	Glycosyl_hydrolases_family_16_active_sites.
AK366263	Sac_phosphatase_domain_profile.
AK362841	Nuf2_family
AK248424.1	Protein_of_unknown_function,_DUF642
AK251541.1	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_15768.1	FBD
MLOC_11632.1	Plant_protein_of_unknown_function_(DUF936)
AK371146	TPR_repeat_region_circular_profile.
AK376156	Cobalamin-independent_synthase,_Catalytic_domain
AK357962|AK359690	CAAX_amino_terminal_protease_family
AK368042	WRKY_DNA_-binding_domain
AK360527	PCMH-type_FAD-binding_domain_profile.
AK371307	Uncharacterised_protein_family_(UPF0172)
AK354394	Subtilase_family
MLOC_52601.1	Zinc_finger_C-x8-C-x5-C-x3-H_type_(and_similar)
MLOC_43627.4	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
AK373058	Chlorophyll_A-B_binding_protein
MLOC_53518.1	Conserved_oligomeric_complex_COG6
MLOC_54220.3	MIZ/SP-RING_zinc_finger
AK368249	Exonuclease
MLOC_37696.1	DTW_domain
MLOC_56271.1	Seven_in_absentia_protein_family
AK251730.1	Dihydroneopterin_aldolase
MLOC_68778.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
MLOC_39328.2	Fasciclin_domain
MLOC_68899.1	DnaJ_central_domain_(4_repeats)
MLOC_4394.3	Adaptin_N_terminal_region
MLOC_19118.1	Bowman-Birk_serine_protease_inhibitors_family_signature.
MLOC_38939.1	Cytidine_and_deoxycytidylate_deaminase_zinc-binding_region
AK372211	AAA_domain_(Cdc48_subfamily)
MLOC_16701.1	Pollen_allergen
AK252445.1	Citrate_transporter
MLOC_558.2	Targeting_protein_for_Xklp2_(TPX2)
MLOC_39046.1	WAX2_C-terminal_domain
MLOC_10884.2	Protein_kinase_domain
AK369346	Glycosyl_transferases_group_1
AK355026	Chaperonin_10_Kd_subunit
MLOC_57503.2	SBP_domain
MLOC_8034.2	Helicase_conserved_C-terminal_domain
MLOC_70777.2	Myb-like_DNA-binding_domain
AK372208	NAC_domain_profile.
MLOC_62283.1	Zinc_finger_RING-type_signature.
AK365590	Xeroderma_pigmentosum_group_B_protein_signature
AK359748	OPT_oligopeptide_transporter_protein
MLOC_36682.1	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
MLOC_18300.1	Retinal_pigment_epithelial_membrane_protein
AK370596	CCT_motif
AK358761	Insulinase_(Peptidase_family_M16)
MLOC_25886.1	Poly(ADP-ribose)_polymerase_and_DNA-Ligase_Zn-finger_region
MLOC_3036.1	Late_embryogenesis_abundant_protein
MLOC_39891.1	Protein_of_unknown_function_(DUF1677)
MLOC_5668.1	Homeobox_domain
AK252772.1	Protein_of_unknown_function_(DUF3456)
MLOC_43986.1	AN1-like_Zinc_finger
AK250311.1	A20-like_zinc_finger
MLOC_77289.2	Eukaryotic_aspartyl_protease
MLOC_74149.3	Cellulose_synthase
MLOC_13930.1	Fibronectin_type_III_domain
MLOC_56075.1	Protein_of_unknown_function_DUF260
AK250200.1	VHS_domain
MLOC_78244.1	Transcription_factor/nuclear_export_subunit_protein_2
AK250170.1	TRAM_domain
MLOC_63803.1	Cytochrome_P450
AK365366	Ubiquitin_fusion_degradation_protein_UFD1
MLOC_54602.1	Microtubule_associated_protein_(MAP65/ASE1_family)
AK367003	F-box_domain
AK362254	Ribosome_inactivating_protein_family_signature
MLOC_81213.1	WD_domain,_G-beta_repeat
MLOC_70628.2	Protein_kinase_domain_profile.
AK355703	Nodulin-like
MLOC_7518.1	High_mobility_group_protein_(HMGY)_signature
MLOC_8476.1	Glyceraldehyde_3-phosphate_dehydrogenase,_NAD_binding_domain
MLOC_65042.1	Leucine_Rich_Repeat
MLOC_30583.1	SWIM_zinc_finger
MLOC_55510.1	MuDR_family_transposase
MLOC_56888.4	Arv1-like_family
MLOC_54379.1	Heavy-metal-associated_domain
MLOC_80057.1	NB-ARC_domain
AK362876	LEM3_(ligand-effect_modulator_3)_family_/_CDC50_family
AK369276	Nucleolar_GTP-binding_protein_1_(NOG1)
MLOC_13033.3	SET_domain
MLOC_45038.2	Possible_lysine_decarboxylase
MLOC_50406.5	No_apical_meristem_(NAM)_protein
MLOC_44423.2	FAR1_DNA-binding_domain
MLOC_58984.1	Cleavage_site_for_pathogenic_type_III_effector_avirulence_factor_Avr
MLOC_38675.1	2Fe-2S_iron-sulfur_cluster_binding_domain
MLOC_36746.1	Methyltransferase_domain
AK367276	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_20964.2	Leucine_Rich_Repeat
AK371808	Late_embryogenesis_abundant_protein
AK365847|AK252752.1	Aminotransferase_class_I_and_II
AK362807	PLAC8_family
AK356520	PH_domain
AK364782	WD40-like_Beta_Propeller_Repeat
MLOC_53471.2	PRONE_(Plant-specific_Rop_nucleotide_exchanger)
AK248745.1	Uncharacterised_ACR,_COG1259
MLOC_76192.1	XH_domain
MLOC_34787.1	F-box_associated
MLOC_5743.2	Exostosin_family
AK367605	Late_embryogenesis_abundant_protein
MLOC_56079.2	Protein_kinase_domain
MLOC_69841.2	Protein_of_unknown_function_(DUF3730)
MLOC_55339.1	Homeobox_associated_leucine_zipper
MLOC_7795.1	Hsp20/alpha_crystallin_family
AK363318	Ubiquitin-conjugating_enzyme
MLOC_15436.1	Sugar_(and_other)_transporter
MLOC_52278.1	Cyclophilin-type_peptidyl-prolyl_cis-trans_isomerase_domain_profile.
MLOC_20060.1	Plant_protein_of_unknown_function_(DUF641)
MLOC_21717.1	Plastocyanin-like_domain
AK366054	Glycosyl_hydrolases_family_31
MLOC_11620.1	Glycosyl_hydrolases_family_38_C-terminal_domain
MLOC_61859.1	Sodium/hydrogen_exchanger_family
MLOC_52938.1	Tetratricopeptide_repeat
MLOC_66427.2	1-aminocyclopropane-1-carboxylate_synthase_signature
MLOC_44982.1	Glycosyl_hydrolases_family_17
AK359137	PTR2_family_proton/oligopeptide_symporters_signature_1.
AK375316	Sodium/hydrogen_exchanger_family
MLOC_1615.3	Histidine_kinase-,_DNA_gyrase_B-,_and_HSP90-like_ATPase
MLOC_24779.1	RNA_polymerase_Rpb2,_domain_6
AK358169	Ubiquitin_family
MLOC_34834.1	Transferase_family
MLOC_11404.1	F-box_domain
MLOC_61193.1	Pyridine_nucleotide-disulphide_oxidoreductase
MLOC_5638.1	Aldose_1-epimerase
MLOC_20390.2	Helicase_conserved_C-terminal_domain
MLOC_57709.1	HSF-type_DNA-binding
MLOC_21432.2	PPR_repeat
MLOC_55153.1	Cellulose_synthase
AK360735	dnaJ_domain_profile.
AK364232	Mitochondrial_inner_membrane_protein
MLOC_63935.2	Double-stranded_RNA_binding_motif
AK376745	Arabidopsis_proteins_of_unknown_function
MLOC_57004.1	NAD_dependent_epimerase/dehydratase_family
MLOC_10322.3	Myb-like_DNA-binding_domain
MLOC_72338.1	60s_Acidic_ribosomal_protein
AK364849	Protein_phosphatase_2C
AK359077	CRM_domain_profile.
MLOC_6079.1	MYND_finger
MLOC_14606.2	Mitochondrial_carrier_protein
MLOC_17101.1	Ubiquitin_carboxyl-terminal_hydrolase
MLOC_25582.1	RNA_polymerase_Rpb2,_domain_6
MLOC_38791.1	GDSL-like_Lipase/Acylhydrolase
AK362920	EF_hand
AK362474	Protease_inhibitor/seed_storage/LTP_family
MLOC_55246.2	Leucine_Rich_Repeat
AK370129	Protein_of_unknown_function_(DUF581)
MLOC_62606.1	GDSL-like_Lipase/Acylhydrolase
AK249031.1	ABC_transporter
MLOC_64204.1	Reversibly_glycosylated_polypeptide
MLOC_74648.1	ABC_transporter
AK361157	NB-ARC_domain
MLOC_55495.1	Core_histone_H2A/H2B/H3/H4
MLOC_14139.2	WD_domain,_G-beta_repeat
MLOC_4425.2	Agenet_domain
MLOC_72585.1	Nucleolar_RNA-binding_protein,_Nop10p_family
MLOC_62025.4	haloacid_dehalogenase-like_hydrolase
AK248581.1	Glycosyl_hydrolase_family_1
MLOC_53943.2	Myb-like_DNA-binding_domain
MLOC_6488.2	HAD_superfamily,_subfamily_IIIB_(Acid_phosphatase)
MLOC_58176.2	Di-glucose_binding_within_endoplasmic_reticulum
MLOC_67141.1	eRF1_domain_3
MLOC_8043.1	Cytochrome_P450
AK371783	Glycoprotease_family_signature.
MLOC_70006.1	Uncharacterized_protein_family_UPF0057
MLOC_55617.1	Survival_motor_neuron_(SMN)_interacting_protein_1_(SIP1)
MLOC_13368.1	PPR_repeat
MLOC_60778.1	IBR_domain
MLOC_6973.3	GRF_zinc_finger
MLOC_37765.1	PPR_repeat
AK360167	Complex_I_intermediate-associated_protein_30_(CIA30)
AK249216.1	Plus-3_domain
MLOC_44159.2	Arabidopsis_thaliana_protein_of_unknown_function_(DUF794)
AK353813	WRC
AK355413	WD_domain,_G-beta_repeat
MLOC_70116.1	TCP_family_transcription_factor
MLOC_30350.1	Transferase_family
AK361281	Transferase_family
AK358518	Glycosyltransferase_family_17
MLOC_59159.1	Tim10/DDP_family_zinc_finger
MLOC_58420.1	GDSL-like_Lipase/Acylhydrolase
MLOC_10911.1	Ferric_reductase_NAD_binding_domain
MLOC_76345.1	Plant_transposon_protein
MLOC_13217.3	ABC_transporter
MLOC_54049.1	Protein_kinase_domain
AK368496	Cytochrome_P450
MLOC_74038.5	PPR_repeat
MLOC_81102.1	B3_DNA_binding_domain
AK356581	Transmembrane_amino_acid_transporter_protein
MLOC_74335.1	Plant_invertase/pectin_methylesterase_inhibitor
MLOC_53849.2	Ras_family
MLOC_49218.1	Lipase_3_N-terminal_region
AK362094	XS_domain
MLOC_56389.3	UDP-glucose:Glycoprotein_Glucosyltransferase
MLOC_42340.1	PPR_repeat
MLOC_65664.1	Protein_of_unknown_function_(DUF3651)
AK252527.1	Cytochrome_P450
AK365059	GRAS_family_transcription_factor
MLOC_61701.1	Protein_of_unknown_function_(DUF674)
AK355581	Kelch_motif
MLOC_57639.4	Mannosyltransferase_(PIG-V))
MLOC_38886.2	Frigida-like_protein
MLOC_7317.1	Protein_of_unknown_function_(DUF2985)
AK370563	Alpha-L-arabinofuranosidase_C-terminus
MLOC_23826.1	Mitochondrial_carrier_protein
MLOC_3871.2	Lung_seven_transmembrane_receptor
MLOC_5782.1	BTB_And_C-terminal_Kelch
AK374581	Protein_phosphatase_2A_regulatory_B_subunit_(B56_family)
AK367686	Trp-Asp_(WD)_repeats_signature.
AK358922|AK354728	Ferredoxin_thioredoxin_reductase_catalytic_beta_chain
AK376875	Thaumatin_family
AK362383	Sodium/calcium_exchanger_protein
MLOC_34930.1	Protein_phosphatase_2C
AK363270	Aminotransferase_class_I_and_II
MLOC_77721.1	Plastocyanin-like_domain
MLOC_4865.3	Breast_carcinoma_amplified_sequence_3
